Site,Plot,Date,Spec,DBH,Dec ,X,Y,Z,CrHt,SrchHt,Core#,Comments
OH,OH3,8/29/2018,PIJE,51.3,,41.8,-27.2,10.2,5.3,2.1,113,
OH,OH3,8/29/2018,PIJE,17.3,,42.1,26,17.5,1.6,0,,
OH,OH3,8/29/2018,PIJE,16.1,,42.1,36.4,19.2,1.5,0.4,,
OH,OH3,8/29/2018,PIJE,25.8,,42.5,-10.7,14.3,3.1,2.3,,
OH,OH3,8/29/2018,PIJE,57.7,,43.5,19.8,17.3,3.3,1,122,
OH,OH3,8/29/2018,PIJE,74.2,,43.5,-9.6,15,6.7,3,123,
OH,OH3,8/29/2018,PIJE,56,5,44.7,-18.2,13.6,,2.2,,
OH,OH3,8/29/2018,PIJE,29.1,,45.2,-11.2,15,3.3,3.4,125,
OH,OH3,8/29/2018,PIJE,68.6,2,45.3,-20.5,13,,0.4,,
OH,OH3,8/29/2018,JUGR,22,,46.1,-16.2,14.4,2.8,0.5,,
OH,OH3,8/29/2018,PIJE,50.4,,49.6,-24,13.5,5,0.7,114,
OH,OH3,8/29/2018,PIJE,54.4,,50.8,17.7,19.4,7,6.1,,
OH,OH3,8/29/2018,PIJE,49.7,,51.8,18.8,20,7.5,3.5,,
OH,OH3,8/29/2018,PIJE,49.8,,52.7,-3.7,18,5.6,4,,
OH,OH3,8/29/2018,PIJE,40.8,,53.1,-3.4,18.3,8,6,,
OH,OH3,8/29/2018,PIJE,43.7,,55.5,-7.8,18.5,6.9,4.5,,
OH,OH3,8/29/2018,PIJE,23.6,2,55.7,-7.4,18.7,,5.2,,
OH,OH3,8/29/2018,PIJE,24.7,,56.1,-8.6,18.5,4.6,2.2,,
OH,OH3,8/29/2018,PIJE,57.8,,57.4,-6.7,19.3,7.5,5,,near plot boundary - shooting from monopol - might be in
